id,shop_id,name,description,base_price,active
1,2,Wireless Earbuds,Wireless Earbuds designed for everyday use with reliable quality.,14.75,1
2,8,Smart Hoodie,Smart Hoodie designed for everyday use with reliable quality.,149.49,1
3,7,Eco Backpack,Eco Backpack designed for everyday use with reliable quality.,63.24,1
4,10,Premium Water Bottle,Premium Water Bottle designed for everyday use with reliable quality.,44.85,1
5,3,Compact Desk Lamp,Compact Desk Lamp designed for everyday use with reliable quality.,196.44,1
6,5,Ultra Notebook,Ultra Notebook designed for everyday use with reliable quality.,179.14,1
7,6,Modern Running Shoes,Modern Running Shoes designed for everyday use with reliable quality.,153.07,1
8,3,Classic Phone Case,Classic Phone Case designed for everyday use with reliable quality.,131.97,1
9,5,Portable Bluetooth Speaker,Portable Bluetooth Speaker designed for everyday use with reliable quality.,12.74,1
10,3,Sleek Coffee Mug,Sleek Coffee Mug designed for everyday use with reliable quality.,163.71,1
11,5,Durable Fitness Band,Durable Fitness Band designed for everyday use with reliable quality.,153.7,1
12,8,Lightweight Sunglasses,Lightweight Sunglasses designed for everyday use with reliable quality.,93.78,1
13,8,Pro Keyboard,Pro Keyboard designed for everyday use with reliable quality.,108.71,1
14,10,Essential Mouse,Essential Mouse designed for everyday use with reliable quality.,26.32,1
15,2,Urban Power Bank,Urban Power Bank designed for everyday use with reliable quality.,33.48,1
16,8,Wireless Travel Pillow,Wireless Travel Pillow designed for everyday use with reliable quality.,104.21,1
17,1,Smart Wristwatch,Smart Wristwatch designed for everyday use with reliable quality.,47.05,1
18,7,Eco Jacket,Eco Jacket designed for everyday use with reliable quality.,183.71,1
19,10,Premium Tote Bag,Premium Tote Bag designed for everyday use with reliable quality.,95.12,1
20,10,Compact Vacuum Bottle,Compact Vacuum Bottle designed for everyday use with reliable quality.,30.79,1
21,8,Ultra Earbuds,Ultra Earbuds designed for everyday use with reliable quality.,154.03,1
22,7,Modern Hoodie,Modern Hoodie designed for everyday use with reliable quality.,46.48,1
23,10,Classic Backpack,Classic Backpack designed for everyday use with reliable quality.,19.48,1
24,2,Portable Water Bottle,Portable Water Bottle designed for everyday use with reliable quality.,23.61,1
25,1,Sleek Desk Lamp,Sleek Desk Lamp designed for everyday use with reliable quality.,36.63,1
26,2,Durable Notebook,Durable Notebook designed for everyday use with reliable quality.,74.51,1
27,9,Lightweight Running Shoes,Lightweight Running Shoes designed for everyday use with reliable quality.,23.59,1
28,9,Pro Phone Case,Pro Phone Case designed for everyday use with reliable quality.,32.94,1
29,4,Essential Bluetooth Speaker,Essential Bluetooth Speaker designed for everyday use with reliable quality.,186.55,1
30,10,Urban Coffee Mug,Urban Coffee Mug designed for everyday use with reliable quality.,117.43,1
31,9,Wireless Fitness Band,Wireless Fitness Band designed for everyday use with reliable quality.,168.73,1
32,8,Smart Sunglasses,Smart Sunglasses designed for everyday use with reliable quality.,126.54,1
33,4,Eco Keyboard,Eco Keyboard designed for everyday use with reliable quality.,68.28,1
34,7,Premium Mouse,Premium Mouse designed for everyday use with reliable quality.,146.96,1
35,6,Compact Power Bank,Compact Power Bank designed for everyday use with reliable quality.,106.93,1
